Giornata;Squadra_casa;Squadra_ospite
1^ GIORNATA - 24 AGOSTO 2025;Atalanta;Pisa
1^ GIORNATA - 24 AGOSTO 2025;Cagliari;Fiorentina
1^ GIORNATA - 24 AGOSTO 2025;Como;Lazio
1^ GIORNATA - 24 AGOSTO 2025;Genoa;Lecce
1^ GIORNATA - 24 AGOSTO 2025;Inter;Torino
1^ GIORNATA - 24 AGOSTO 2025;Juventus;Parma
1^ GIORNATA - 24 AGOSTO 2025;Milan;Cremonese
1^ GIORNATA - 24 AGOSTO 2025;Roma;Bologna
1^ GIORNATA - 24 AGOSTO 2025;Sassuolo;Napoli
1^ GIORNATA - 24 AGOSTO 2025;Udinese;Verona
2^ GIORNATA - 31 AGOSTO 2025;Bologna;Como
2^ GIORNATA - 31 AGOSTO 2025;Cremonese;Sassuolo
2^ GIORNATA - 31 AGOSTO 2025;Genoa;Juventus
2^ GIORNATA - 31 AGOSTO 2025;Inter;Udinese
2^ GIORNATA - 31 AGOSTO 2025;Lazio;Verona
2^ GIORNATA - 31 AGOSTO 2025;Lecce;Milan
2^ GIORNATA - 31 AGOSTO 2025;Napoli;Cagliari
2^ GIORNATA - 31 AGOSTO 2025;Parma;Atalanta
2^ GIORNATA - 31 AGOSTO 2025;Pisa;Roma
2^ GIORNATA - 31 AGOSTO 2025;Torino;Fiorentina
3^ GIORNATA - 14 SETTEMBRE 2025;Atalanta;Lecce
3^ GIORNATA - 14 SETTEMBRE 2025;Cagliari;Parma
3^ GIORNATA - 14 SETTEMBRE 2025;Como;Genoa
3^ GIORNATA - 14 SETTEMBRE 2025;Fiorentina;Napoli
3^ GIORNATA - 14 SETTEMBRE 2025;Juventus;Inter
3^ GIORNATA - 14 SETTEMBRE 2025;Milan;Bologna
3^ GIORNATA - 14 SETTEMBRE 2025;Pisa;Udinese
3^ GIORNATA - 14 SETTEMBRE 2025;Roma;Torino
3^ GIORNATA - 14 SETTEMBRE 2025;Sassuolo;Lazio
3^ GIORNATA - 14 SETTEMBRE 2025;Verona;Cremonese
4^ GIORNATA - 21 SETTEMBRE 2025;Bologna;Genoa
4^ GIORNATA - 21 SETTEMBRE 2025;Cremonese;Parma
4^ GIORNATA - 21 SETTEMBRE 2025;Fiorentina;Como
4^ GIORNATA - 21 SETTEMBRE 2025;Inter;Sassuolo
4^ GIORNATA - 21 SETTEMBRE 2025;Lazio;Roma
4^ GIORNATA - 21 SETTEMBRE 2025;Lecce;Cagliari
4^ GIORNATA - 21 SETTEMBRE 2025;Napoli;Pisa
4^ GIORNATA - 21 SETTEMBRE 2025;Torino;Atalanta
4^ GIORNATA - 21 SETTEMBRE 2025;Udinese;Milan
4^ GIORNATA - 21 SETTEMBRE 2025;Verona;Juventus
5^ GIORNATA - 28 SETTEMBRE 2025;Cagliari;Inter
5^ GIORNATA - 28 SETTEMBRE 2025;Como;Cremonese
5^ GIORNATA - 28 SETTEMBRE 2025;Genoa;Lazio
5^ GIORNATA - 28 SETTEMBRE 2025;Juventus;Atalanta
5^ GIORNATA - 28 SETTEMBRE 2025;Lecce;Bologna
5^ GIORNATA - 28 SETTEMBRE 2025;Milan;Napoli
5^ GIORNATA - 28 SETTEMBRE 2025;Parma;Torino
5^ GIORNATA - 28 SETTEMBRE 2025;Pisa;Fiorentina
5^ GIORNATA - 28 SETTEMBRE 2025;Roma;Verona
